"","item","cond","line","word","start","end","length","OVP","string"
"247",2,1,1,11,51,58,8,54,"breaking"
"248",2,1,1,12,60,66,7,63,"£238.47"
"249",2,1,2,1,1,3,3,2,"for"
"250",2,1,2,2,5,7,3,6,"the"
"251",2,1,2,3,9,17,9,13,"Childhood"
"252",2,1,2,4,19,23,5,21,"Brain"
"253",2,1,2,5,25,30,6,27,"Trauma"
"254",2,1,2,6,32,39,8,35,"Research"
"255",2,1,2,7,41,46,6,43,"(CBTR)"
"256",2,1,2,8,48,55,8,51,"charity."
"257",2,1,2,9,57,58,2,57,"To"
"258",2,1,2,10,60,64,5,62,"thank"
"259",2,1,3,1,1,3,3,2,"the"
"260",2,1,3,2,5,11,7,8,"school,"
"261",2,1,3,3,13,13,1,13,"a"
"262",2,1,3,4,15,28,14,21,"representative"
"263",2,1,3,5,30,33,4,31,"from"
"264",2,1,3,6,35,38,4,36,"CBTR"
"265",2,1,3,7,40,43,4,41,"came"
"266",2,1,3,8,45,46,2,45,"to"
"267",2,1,3,9,48,54,7,51,"deliver"
"268",2,1,3,10,56,56,1,56,"a"
"269",2,1,3,11,58,61,4,59,"talk"
"270",2,1,3,12,63,65,3,64,"the"
"271",2,1,4,1,1,9,9,5,"following"
"272",2,1,4,2,11,18,8,14,"morning."
"273",2,1,4,3,20,25,6,22,"Little"
"274",2,1,4,4,27,29,3,28,"did"
"275",2,1,4,5,31,33,3,32,"she"
"276",2,1,4,6,35,38,4,36,"know"
"277",2,1,4,7,40,43,4,41,"that"
"278",2,1,4,8,45,47,3,46,"the"
"279",2,1,4,9,49,55,7,52,"parents"
"280",2,1,4,10,57,59,3,58,"and"
"281",2,1,4,11,61,68,8,64,"teachers"
"282",2,1,5,1,1,3,3,2,"had"
"283",2,1,5,2,5,12,8,8,"arranged"
"284",2,1,5,3,14,14,1,14,"a"
"285",2,1,5,4,16,21,6,18,"silent"
"286",2,1,5,5,23,29,7,26,"auction"
"287",2,1,5,6,31,32,2,31,"to"
"288",2,1,5,7,34,38,5,36,"raise"
"289",2,1,5,8,40,46,7,43,"further"
"290",2,1,5,9,48,52,5,50,"funds"
"291",2,1,5,10,54,56,3,55,"for"
"292",2,1,5,11,58,61,4,59,"CBTR"
"293",2,1,5,12,63,70,8,66,"charity."
"294",2,1,6,1,1,12,12,6,"Overwhelmed,"
"295",2,1,6,2,14,16,3,15,"the"
"296",2,1,6,3,18,31,14,24,"representative"
"297",2,1,6,4,33,35,3,34,"let"
"298",2,1,6,5,37,39,3,38,"out"
"299",2,1,6,6,41,41,1,41,"a"
"300",2,1,6,7,43,46,4,44,"tear"
"301",2,1,6,8,48,50,3,49,"and"
"302",2,1,6,9,52,58,7,55,"thanked"
"303",2,1,6,10,60,62,3,61,"all"
"304",2,1,6,11,64,68,5,66,"those"
"305",2,1,7,1,1,9,9,5,"involved."
"306",2,1,7,2,11,13,3,12,"She"
"307",2,1,7,3,15,18,4,16,"then"
