"","sub","item","seq","xPos","yPos","x1","x2","y1","y2","fix_num","fix_dur","word_text","word_sent","word_line","line","sent","wordID","word_len","predict","VA","Rtn_sweep","Rtn_sweep_type","prevX","nextX","freq","zipf","LandStartVA","prevVA","undersweep_prob"
"12581","sub05",51,53,417.9,209.3,327,445,154,246,18,107,17,17,2,2,1,"apparatus",9,0,0.33,1,"under-sweep",1319.5,250.4,77,3.183928745,6.1725,28.7125,1
"12603","sub05",51,53,324.3,277.6,265,350,246,338,40,88,30,6,2,3,2,"poised",6,0,0.33,1,"under-sweep",1225.8,224.4,64,3.104747499,3.8325,26.37,1
"12619","sub05",51,53,813.7,351.6,770,921,338,422,56,151,54,30,9,4,2,"companies.",9,0.028571429,0.33,1,"under-sweep",972.3,443.4,581,4.056757127,16.0675,20.0325,1
"12647","sub05",34,54,470.3,187.1,433,566,154,246,15,127,20,13,4,2,2,"violations",10,0.142857143,0.33,1,"under-sweep",1350.4,263.1,100,3.296155516,7.4825,29.485,1
"12668","sub05",34,54,370.6,295.9,338,444,246,330,36,97,31,7,3,3,3,"comment.",7,0.333333333,0.33,1,"under-sweep",1174.5,235,654,4.108075442,4.99,25.0875,1
"12707","sub05",22,55,260.7,159.7,172,266,154,246,21,134,21,14,1,2,2,"their",5,0.093023256,0.33,1,"under-sweep",1320.4,224.4,33413,5.81576261,2.2425,28.735,1
"12725","sub05",22,55,397.3,276.1,360,423,246,330,39,111,37,1,3,3,4,"They",4,0.219512195,0.33,1,"under-sweep",1269.5,244,209250,6.612501684,5.6575,27.4625,1
"12813","sub06",19,1,275.1,241.3,266,326,154,246,12,256,15,15,2,2,1,"like",4,0.578947368,0.33,1,"accurate",1292.2,327.9,203947,6.601353593,2.6025,28.03,0
"12836","sub06",19,1,329.3,399.3,276,384,338,422,35,142,46,15,2,4,2,"liquids,",7,0.473684211,0.33,1,"under-sweep",1369.2,278.8,45,2.954591974,3.9575,29.955,1
"12857","sub06",38,2,254.9,165.9,172,278,154,246,17,162,16,16,1,2,1,"things",6,0.025641026,0.33,1,"accurate",278.8,385.5,35337,5.840076109,2.0975,2.695,0
"12891","sub06",6,3,330.6,238.5,302,338,154,246,15,96,18,18,2,2,1,"to",2,0.076923077,0.33,1,"under-sweep",1301.5,279.2,1156570,7.355006441,3.99,28.2625,1
"12904","sub06",6,3,359.8,300.2,351,446,246,338,28,270,38,15,3,3,2,"stopped",7,0,0.33,1,"accurate",1382.1,557.4,3844,4.876730486,4.72,30.2775,0
"12917","sub06",6,3,329.9,406.8,326,374,338,418,41,186,56,33,4,4,2,"the",3,0.675,0.33,1,"under-sweep",1316.1,255.8,1501908,7.468477762,3.9725,28.6275,1
"12990","sub06",48,5,261.5,198,254,290,154,246,16,212,16,16,2,2,1,"in",2,0.054054054,0.33,1,"accurate",1321.5,395.8,498444,6.989451386,2.2625,28.7625,0
"13067","sub06",52,6,309.7,290.2,301,445,246,338,23,179,36,NA,3,3,NA,"Millennials",NA,NA,0.33,1,"under-sweep",1272.4,246.5,NA,NA,3.4675,27.535,1
"13109","sub06",35,7,317.3,201.5,290,386,154,246,15,128,19,19,3,2,1,"packing",7,0,0.33,1,"under-sweep",1244.7,264.5,698,4.136311318,3.6575,26.8425,1
"13142","sub06",12,8,275.1,187.5,254,290,154,246,13,232,19,19,2,2,1,"of",2,0.80952381,0.33,1,"accurate",1322.4,351.4,590439,7.063009914,2.6025,28.785,0
"13151","sub06",12,8,326,290.5,300,349,246,338,22,173,36,16,2,3,2,"but",3,0.047619048,0.33,1,"under-sweep",1262.5,274.6,225291,6.644579913,3.875,27.2875,1
"13161","sub06",12,8,327.4,366,NA,NA,NA,NA,32,86,NA,NA,NA,4,NA,".",NA,NA,0.33,1,"under-sweep",1258.4,262.8,NA,NA,3.91,27.185,1
"13186","sub06",16,9,298.1,197.3,172,327,154,246,21,339,18,18,1,2,1,"laboratory",10,0,0.33,1,"accurate",1354,387.7,331,3.812972226,3.1775,29.575,0
"13258","sub06",36,10,291.7,220.9,278,302,153,246,19,155,20,20,3,2,1,"a",1,0.025,0.33,1,"accurate",1322.1,361.3,1041179,7.309359959,3.0175,28.7775,0
"13306","sub06",4,11,257.1,301.9,253,303,246,340,25,113,38,5,2,3,2,"way",3,0.333333333,0.33,1,"accurate",1245.6,258.5,72661,6.15314149,2.1525,26.865,0
"13403","sub06",1,13,321.9,384.2,302,326,338,422,40,157,56,15,3,4,3,"a",1,0.025,0.33,1,"under-sweep",1269,257.4,1041179,7.309359959,3.7725,27.45,1
