"","item","line","word","start","end","length","OVP","string"
"1528",81,1,8,44,46,3,45,"the"
"1529",81,1,9,48,54,7,51,"illness"
"1530",81,2,1,1,4,4,2,"that"
"1531",81,2,2,6,8,3,7,"she"
"1532",81,2,3,10,15,6,12,"picked"
"1533",81,2,4,17,18,2,17,"up"
"1534",81,2,5,20,24,5,22,"while"
"1535",81,2,6,26,33,8,29,"visiting"
"1536",81,2,7,35,43,9,39,"Southeast"
"1537",81,2,8,45,49,5,47,"Asia."
"1538",82,1,1,1,3,3,2,"The"
"1539",82,1,2,5,7,3,6,"two"
"1540",82,1,3,9,16,8,12,"pizzeria"
"1541",82,1,4,18,22,5,20,"cooks"
"1542",82,1,5,24,27,4,25,"were"
"1543",82,1,6,29,37,9,33,"expecting"
"1544",82,1,7,39,41,3,40,"the"
"1545",82,1,8,43,46,4,44,"city"
"1546",82,1,9,48,54,7,51,"plumber"
"1547",82,2,1,1,2,2,1,"to"
"1548",82,2,2,4,7,4,5,"come"
"1549",82,2,3,9,11,3,10,"and"
"1550",82,2,4,13,15,3,14,"fix"
"1551",82,2,5,17,19,3,18,"the"
"1552",82,2,6,21,28,8,24,"blockage"
"1553",82,2,7,30,31,2,30,"in"
"1554",82,2,8,33,35,3,34,"the"
"1555",82,2,9,37,42,6,39,"pipes."
"1556",83,1,1,1,2,2,1,"As"
"1557",83,1,2,4,7,4,5,"Bill"
"1558",83,1,3,9,12,4,10,"woke"
"1559",83,1,4,14,15,2,14,"up"
"1560",83,1,5,17,19,3,18,"and"
"1561",83,1,6,21,26,6,23,"looked"
"1562",83,1,7,28,34,7,31,"through"
"1563",83,1,8,36,38,3,37,"the"
"1564",83,1,9,40,46,7,43,"window,"
"1565",83,1,10,48,49,2,48,"he"
"1566",83,1,11,51,53,3,52,"saw"
"1567",83,2,1,1,3,3,2,"his"
"1568",83,2,2,5,10,6,7,"friend"
"1569",83,2,3,12,18,7,15,"running"
"1570",83,2,4,20,21,2,20,"to"
"1571",83,2,5,23,27,5,25,"catch"
"1572",83,2,6,29,31,3,30,"the"
"1573",83,2,7,33,36,4,34,"bus."
"1574",84,1,1,1,3,3,2,"Sam"
"1575",84,1,2,5,7,3,6,"was"
"1576",84,1,3,9,12,4,10,"very"
"1577",84,1,4,14,18,5,16,"happy"
"1578",84,1,5,20,21,2,20,"to"
"1579",84,1,6,23,27,5,25,"learn"
"1580",84,1,7,29,32,4,30,"that"
"1581",84,1,8,34,35,2,34,"he"
"1582",84,1,9,37,39,3,38,"was"
"1583",84,1,10,41,48,8,44,"selected"
"1584",84,1,11,50,51,2,50,"as"
"1585",84,1,12,53,55,3,54,"one"
"1586",84,2,1,1,2,2,1,"of"
"1587",84,2,2,4,6,3,5,"the"
"1588",84,2,3,8,11,4,9,"five"
"1589",84,2,4,13,20,8,16,"students"
"1590",84,2,5,22,24,3,23,"who"
"1591",84,2,6,26,29,4,27,"will"
"1592",84,2,7,31,39,9,35,"represent"
"1593",84,2,8,41,43,3,42,"his"
"1594",84,2,9,45,51,7,48,"country"
"1595",84,2,10,53,54,2,53,"at"
"1596",84,2,11,56,58,3,57,"the"
"1597",84,2,12,60,72,13,66,"international"
"1598",84,2,13,74,85,12,79,"competition."
"1599",85,1,1,1,3,3,2,"The"
"1600",85,1,2,5,7,3,6,"old"
"1601",85,1,3,9,16,8,12,"mountain"
"1602",85,1,4,18,24,7,21,"village"
"1603",85,1,5,26,33,8,29,"received"
"1604",85,1,6,35,36,2,35,"so"
"1605",85,1,7,38,40,3,39,"few"
"1606",85,1,8,42,49,8,45,"visitors"
"1607",85,1,9,51,54,4,52,"that"
"1608",85,2,1,1,6,6,3,"people"
"1609",85,2,2,8,11,4,9,"were"
"1610",85,2,3,13,21,9,17,"genuinely"
"1611",85,2,4,23,31,9,27,"surprised"
"1612",85,2,5,33,34,2,33,"to"
"1613",85,2,6,36,38,3,37,"see"
"1614",85,2,7,40,42,3,41,"any"
"1615",85,2,8,44,52,9,48,"strangers"
"1616",85,2,9,54,59,6,56,"there."
"1617",86,1,1,1,4,4,2,"When"
"1618",86,1,2,6,8,3,7,"the"
"1619",86,1,3,10,12,3,11,"two"
"1620",86,1,4,14,21,8,17,"brothers"
"1621",86,1,5,23,28,6,25,"stared"
"1622",86,1,6,30,31,2,30,"at"
"1623",86,1,7,33,35,3,34,"the"
"1624",86,1,8,37,40,4,38,"sky,"
"1625",86,1,9,42,45,4,43,"they"
"1626",86,1,10,47,53,7,50,"noticed"
"1627",86,2,1,1,3,3,2,"the"
"1628",86,2,2,5,9,5,7,"stars"
"1629",86,2,3,11,14,4,12,"were"
"1630",86,2,4,16,24,9,20,"unusually"
"1631",86,2,5,26,31,6,28,"bright"
"1632",86,2,6,33,36,4,34,"that"
"1633",86,2,7,38,43,6,40,"night."
"1634",87,1,1,1,5,5,3,"After"
"1635",87,1,2,7,9,3,8,"she"
"1636",87,1,3,11,18,8,14,"finished"
"1637",87,1,4,20,29,10,24,"breakfast,"
"1638",87,1,5,31,36,6,33,"Emilia"
"1639",87,1,6,38,45,8,41,"prepared"
"1640",87,1,7,47,49,3,48,"for"
"1641",87,1,8,51,53,3,52,"her"
"1642",87,2,1,1,5,5,3,"piano"
"1643",87,2,2,7,13,7,10,"lessons"
"1644",87,2,3,15,17,3,16,"and"
"1645",87,2,4,19,22,4,20,"then"
"1646",87,2,5,24,27,4,25,"went"
"1647",87,2,6,29,30,2,29,"to"
"1648",87,2,7,32,34,3,33,"the"
"1649",87,2,8,36,39,4,37,"gym."
"1650",88,1,1,1,3,3,2,"The"
"1651",88,1,2,5,15,11,10,"experienced"
"1652",88,1,3,17,22,6,19,"lawyer"
"1653",88,1,4,24,27,4,25,"kept"
"1654",88,1,5,29,36,8,32,"changing"
"1655",88,1,6,38,40,3,39,"the"
"1656",88,1,7,42,46,5,44,"topic"
"1657",88,1,8,48,49,2,48,"in"
"1658",88,1,9,51,53,3,52,"the"
"1659",88,2,1,1,4,4,2,"hope"
